name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
Gormleys,,53.566472,-6.384025,Check local listings,,,Garristown,
Five Corners,,54.771967,-6.023329,Check local listings,,,Ballyeaston,
Henry’s,"The Square, Mountbellew",53.470482,-8.500127,Check local listings,,,Mountbellew,
Foyleview Bar,,55.032401,-7.123375,Check local listings,,,Greysteel,
Rising Sun,"105, Killylane Road",55.03186,-7.12213,Check local listings,,,Greysteel,
Coyles bar,,54.996377,-7.522193,Check local listings,,,Newtown Cunningham,
Peters Bar,,54.996963,-7.510716,Check local listings,,,Newtown Cunningham,
The Old Bridge Inn,,53.632551,-6.66483,Check local listings,,,Johnstown,
The Country House,"102, Loup Road",54.699287,-6.599769,Check local listings,,,The Loup,
Dorman's,"15-17, Queen Street",54.754722,-6.609039,"We-Th, Sa 11:30-01:00; Su 11:30-22:00; Fr 11:30-23:00",http://dormansbar.com/,+44 28 7963 1194,Magherafelt,Londonderry
Bayview Inn,,53.961044,-6.367305,Check local listings,,,Blackrock,Louth
Harisons,,53.964596,-6.364631,Check local listings,,,Blackrock,Louth
The Neptune,,53.963881,-6.36571,Check local listings,,,Blackrock,Louth
Jack's Bar,,54.844497,-6.672961,Check local listings,,,Maghera,
Torrent Bar,,54.542989,-6.779101,Check local listings,,,Carland,
Langs Bar & Restaurant,Grange,54.393222,-8.523255,Check local listings,https://www.langs.ie/,,Grange,
Corley's Abbey Lounge,,53.757329,-9.282255,Check local listings,,,Ballintober,
Patcheen’s,"Main Street, Annascaul",52.151437,-10.055076,Check local listings,,,Annascaul,
