name,name_ga,county,lat,lon,type
Avoca,Abhóca,,52.8572265,-6.2130259,village
Bundoran,Bun Dobhráin,,54.4788836,-8.278252,town
Keel,An Caol,,53.9733139,-10.085191,village
Knock,An Cnoc,,52.6284891,-9.3325659,hamlet
Ennistymon,Inis Díomáin,Clare,52.9401873,-9.2932061,town
Drumshanbo,Droim Seanbhó,,54.0467406,-8.0401507,town
Lisdoonvarna,Lios Dúin Bhearna,Clare,53.0294117,-9.2895114,town
Loughglinn,Loch Glinne,,53.8231265,-8.5638829,village
Carrickroe,An Charraig Rua,Monaghan,54.3572349,-7.0274452,village
Ballyhack,,,52.2452333,-6.9682764,village
Dunlavin,Dún Luáin,,53.0576351,-6.7015871,village
Murrintown,Baile Mhúráin,,52.2871894,-6.521939,village
Allenwood,Fiodh Alúine,,53.28391,-6.8610887,village
Goleen,An Góilín,,51.4950346,-9.7112645,village
Conna,,,52.0925044,-8.1099774,village
Kells,Ceanannas,Meath,53.7271798,-6.8767883,town
Coill Dubh,Coill Dubh,Kildare,53.2932362,-6.8160187,village
Grange Con,,Wicklow,52.9972622,-6.7436951,village
Ballina,Béal an Átha,,54.1143359,-9.1532099,town
Drommahane,,,52.1052051,-8.6907718,village
Ferrybank,,,52.2696803,-7.1012763,suburb
Rylane Cross,,Cork,51.9840752,-8.8410749,village
Donegal,Dún na nGall,,54.6537924,-8.1102616,town
Horse and Jockey,,Tipperary,52.616389,-7.775278,village
Hollyford,,Tipperary,52.6326722,-8.1120165,village
Aglish,,,52.0706535,-7.8219084,village
Monasterevin,Mainistir Eimhín,Kildare,53.1426514,-7.0634579,town
Barraduff,,,52.0600275,-9.336189,village
Windgap,Bearna na Gaoithe,Kilkenny,52.4617936,-7.3972298,village
Ballingarry,Baile an Gharraí,,52.5865294,-7.5418999,village
Ballyhean,Béal Átha hÉin,,53.7935147,-9.3153008,village
New Inn,Loch Ceann,Tipperary,52.4407127,-7.8823796,village
An Bhánrainn Bhán Theas,An Bhánrainn Bhán Theas,Galway,53.2439346,-9.5245089,hamlet
Kilbarrack,Cill Bharróg,Dublin,53.386431,-6.1560593,suburb
Walterstown,,Meath,53.611343,-6.5540602,village
Na Forbacha,Na Forbacha,Galway,53.2488923,-9.2079295,town
An Fál Carrach,An Fál Carrach,Donegal,55.1363986,-8.104027,town
Knockainey,Cnoc Áine,Limerick,52.473293,-8.4701294,village
Mountcollins,,,52.316667,-9.233333,village
Carriganimmy,,,51.9781426,-9.0359938,village
Hollyfort,,Wexford,52.7160701,-6.3475984,village
Freemount,Cillín an Chrónáin,,52.276791,-8.8853683,village
Skerries,Na Sceirí,Dublin,53.5806379,-6.1066867,town
Ardcrony,,Tipperary,52.9350937,-8.1569908,village
Ballygarrett,Baile Ghearóid,Wexford,52.5731982,-6.2299249,village
Glenbrien,,Wexford,52.4609689,-6.5014615,village
Templemore,An Teampall Mór,Tipperary,52.794722,-7.833889,town
Ballincollig,Baile an Chollaigh,,51.8882643,-8.5918414,suburb
Ballymurn,,,52.4407733,-6.4762013,village
Castlebar,Caisleán an Bharraigh,,53.8568418,-9.297967,town
Dumha Thuama,Dumha Thuama,,54.071944,-9.940556,village
Knock,Cnoc Mhuire,,53.7947992,-8.9193547,town
Baile na nGall,Baile na nGall,Kerry,52.1905735,-10.3747897,village
Adare,Áth Dara,,52.5636631,-8.7923958,village
Granard,Gránard,Longford,53.779362,-7.4910079,town
Maynooth,Maigh Nuad,Kildare,53.3830239,-6.5922806,town
Old Pallas,,,52.5483893,-8.3541631,village
Tobercurry,Tobar an Choire,,54.0539302,-8.730565,town
Mullinahone,Muileann na hUamhan,,52.5122965,-7.5056022,village
Cross,,,53.5413149,-9.2156617,village
Killachonna,Cill na Chonna,Westmeath,53.4114663,-7.7469001,hamlet
Nicker,,Limerick,52.5618683,-8.3547741,hamlet
Tievemore,,,54.583333,-7.766667,hamlet
Ballyboughal,Baile Bachaill,,53.5205236,-6.2674973,village
Ballyragget,Béal Átha Ragad,,52.7887862,-7.3343201,village
Crookstown,An Baile Gallda,,51.8413698,-8.8310263,village
